OBJECTID,CONDO_BK,CONDO_PG,BK_PG,DOC_DATE,SQUARE,SUFFIX,REC_LOT,O_LOTS,TAX_LOT,MAT_SSL,MISC,REGIME,REGIME_ID
3842,30,13,30/13,1982-05-14T00:00:00.000Z,0154,,0042,,,0154    0042,,2118,737
3203,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7007,7008,7012,7013",,0515    7009,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3527,32,24,32/24,1983-09-28T00:00:00.000Z,4325,,0036,,0809,4325    0809,,3031,1410
3524,29,4,29/4,1981-12-07T00:00:00.000Z,4325,,0036,,0806,4325    0806,,3031,1410
3209,47,19,47/19,2003-04-16T00:00:00.000Z,2660,,0233,,0888,2660    0888,LCE only,1503,341
3523,30,41,30/41,1983-08-11T00:00:00.000Z,3180,,,,0828,3180    0828,,3016,1396
3212,44,29,44/29,2000-09-29T00:00:00.000Z,2662,,0026,,0823,2662    0823,Lot covers Record Lot 0026,1311,302
3205,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7007,7008,7009,7012",,0515    7013,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3525,31,14,31/14,1982-09-07T00:00:00.000Z,4325,,0036,,0808,4325    0808,,3031,1410
3521,29,34,29/34,1982-11-16T00:00:00.000Z,3180,,,,0825,3180    0825,,3016,1396
3208,46,8,46/8,2002-07-02T00:00:00.000Z,2660,,0233,,0886,2660    0886,,1503,341
3841,29,43,29/43,1982-05-19T00:00:00.000Z,0152,,0186,,,0152    0186,,2095,714
3529,54,8,54/8,2005-07-01T00:00:00.000Z,5084,,0291,,0819,5084    0291,Lot is covered by Tax Lot 0819,3069,1445
3202,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7007,7009,7012,7013",,0515    7008,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3204,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7007,7008,7009,7013",,0515    7012,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3528,37,42,37/42,,4325,,0045,,,4325    0045,,3031,1410
3522,33,24,33/24,1985-11-18T00:00:00.000Z,3180,,,,0827,3180    0827,,3016,1396
3201,64,27,64/27,2007-08-30T00:00:00.000Z,0515,,0158,"0865,0866,0867,0868,7008,7009,7012,7013",,0515    7007,"Part of Lot covered by Tax Lots 0865, 0866 & Air Lots 7007, 7008, 7009, 7012, 7013",2876,1579
3211,66,30,66/30,2008-02-21T00:00:00.000Z,2662,,0116,"0117,0118,0119",0862,2662    0862,"Lot covers Record Lots 0116, 0117, 0118, 0119",1915,1876
3526,32,16,32/16,1983-09-28T00:00:00.000Z,4325,,0036,,0809,4325    0809,,3031,1410
2327,64,4,64/4,2007-08-15T00:00:00.000Z,5999,,0029,,,5999    0029,,1879,1631
2180,44,22,44/22,,0959,,0074,,,0959    0074,,2468,1069
2162,43,50,43/50,,0237,,0001,,,0237    0001,,2434,1048
2105,42,32,42/32,1996-02-23T00:00:00.000Z,4550,,0078,,,4550    0078,,2486,1079
2340,64,26,64/26,2007-09-04T00:00:00.000Z,0515,,0158,7000,0860,0515    0860,Part of Lot covered by Tax Lot 0860 & Air Lot 7000,2875,1578
2256,46,17,46/17,,3522,,0048,,,3522    0048,,1501,339
2225,45,31,45/31,,0243,,0024,,,0243    0024,,2538,1113
2565,38,37,38/37,,3499,,0006,,0815,3499    0815,,3020,1400
2481,50,16,50/16,2004-08-25T00:00:00.000Z,0209,,0104,,0928,0209    0928,,2636,1210
2052,37,54,37/54,,2661,,0045,,,2661    0045,,1236,233
2458,44,47,44/47,2003-06-20T00:00:00.000Z,0315,,0025,0806,0807,0315    0807,Lot is covered by Tax Lots 0806 & 0807,2578,1152
2355,65,7,65/7,2007-09-11T00:00:00.000Z,4111,E,0026,,,4111E   0026,,3146,1610
2529,67,18,67/18,2008-07-25T00:00:00.000Z,4051,,0015,,,4051    0015,,1950,2016
2479,46,34,46/34,2002-11-29T00:00:00.000Z,0281,,000B,"000C,000D,000E",0831,0281    0831,,2557,1131
2468,64,38,64/38,2007-09-19T00:00:00.000Z,3121,,0079,,,3121    0079,,1877,1633
2496,55,14,55/14,2005-10-26T00:00:00.000Z,2837,,0076,"0808,0809,0810,0811,0812,0814,0815,0816,0817,0818,0819,0820,0821,0822,0823,0824,0825",0813,2837    0813,,1664,501
2143,43,26,43/26,1998-02-13T00:00:00.000Z,0180,,0084,,,0180    0084,,2179,798
2141,43,22,43/22,1998-07-06T00:00:00.000Z,0157,,0113,,0865,0157    0113,,4019,1510
2149,43,33,43/33,1998-07-01T00:00:00.000Z,0242,,0095,,,0242    0095,,2479,1075
2232,45,38,45/38,,0193,,0149,,,0193    0149,,2531,1106
2535,68,39,68/39,2008-09-29T00:00:00.000Z,3565,,0050,0051,,3565    0050,,1967,2010
2561,37,34,37/34,1986-08-11T00:00:00.000Z,3499,,0006,,0810,3499    0810,,3020,1400
2438,65,19,65/19,2007-09-29T00:00:00.000Z,1096,,0044,"0045,0046,0047,0048",0836,1096    0837,Part of Lot is covered by Tax Lots 0836 & 0837,2878,1581
2405,65,5,65/5,2007-12-05T00:00:00.000Z,0281,,0053,,,0281    0053,,2885,1772
2402,65,16,65/16,2007-11-30T00:00:00.000Z,5811,,0070,,,5811    0070,,1901,1732
2418,65,36,65/36,2008-01-02T00:00:00.000Z,4541,,0125,,,4541    0125,,2891,1778
2215,45,20,45/20,,1734,,0009,,,1734    0009,,3045,1421
2336,64,17,64/17,2007-08-28T00:00:00.000Z,2665,,0017,,,2665    0017,,1874,1636
2006,36,56,36/56,,0096,,0041,,,0096    0041,,1049,47
2461,62,27,62/27,2007-03-30T00:00:00.000Z,2528,,0314,,0917,2528    0917,,1843,1667
2426,66,21,66/21,2008-01-17T00:00:00.000Z,5294,,0039,,,5294    0039,,1911,1742
2430,63,26,63/26,2008-01-24T00:00:00.000Z,2992,,0086,,,2992    0086,,3151,1799
2378,65,11,65/11,2007-09-28T00:00:00.000Z,3113,,0082,,,3113    0082,,1881,1629
2076,38,27,38/27,,0154,,0045,,,0154    0045,,2120,739
2067,38,11,38/11,,0151,,0057,,,0151    0057,,2088,707
